Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
2013081805991,01/13/2014,12/21/2012,HPN,"Westchester County, White Plains",USAir  ,Personal Injury,Checked Baggage,Audio/Video; Jewelry & Watches,0,Deny
2014080215586,07/17/2014,06/30/2014 18:38:00,MCO,Orlando International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,-,0,Deny
2014010710583,01/07/2014,12/27/2013 22:00:00,SJU,Luis Munoz Marin International,Jet Blue,Property Damage,Checked Baggage,Food & Drink,50,Approve in Full
2014010910683,01/07/2014,01/02/2014,IAD,Washington Dulles International,UAL  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny
2014011310783,01/09/2014,01/07/2014,SAT,San Antonio International,Southwest Airlines  ,Property Damage,Checked Baggage,Computer & Accessories,0,Deny
2014011610883,01/13/2014,12/15/2013 14:00:00,CHS,Charleston International,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny
2014012110966,01/14/2014,03/24/2013,SJU,Luis Munoz Marin International,AirTran Airlines,Passenger Property Loss,Checked Baggage,Clothing; Cosmetics & Grooming; Jewelry & Watches,-,-
2014012311066,01/14/2014,12/23/2013 06:45:00,LAX,Los Angeles International Airport ,Air Canada,Property Damage,Checkpoint,Computer & Accessories,198.33,Settle
2014012711166,01/23/2014,12/29/2013 14:51:00,PVD,"TF Green Airport, Providence",USAir  ,Property Damage,Checked Baggage,Audio/Video,89.99,Settle
2014013011266,01/27/2014,01/01/2014 06:10:00,BLI,Bellingham International,Alaska Airlines  ,Property Damage,Checked Baggage,Jewelry & Watches,0,Deny
2014020311366,01/29/2014,01/23/2014 10:15:00,LGA,LaGuardia ,USAir  ,Property Damage,Checkpoint,Clothing,210,Settle
2014020511466,02/01/2014,12/15/2013,JFK,John F. Kennedy International,USAir  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,-
2014020711566,02/04/2014,01/14/2014 05:09:00,ONT,Ontario International,Southwest Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny
2014021311666,01/25/2014,01/24/2014 17:30:00,LAS,McCarran International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Personal Electronics,0,Deny
2014021911766,02/13/2014,02/02/2014,BTR,Baton Rouge Metropolitan,UAL  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,45,Approve in Full
2014022111866,02/11/2014,01/19/2014 10:45:00,DEN,Denver International Airport ,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Clothing,0,Deny
2014022511966,02/25/2014,02/15/2014 16:30:00,BOS,Boston (Logan) International Airport ,Virgin Atlantic,Passenger Property Loss,Checked Baggage,Travel Accessories,40,Approve in Full
2014022712066,02/24/2014,01/02/2014 07:00:00,PHX,Phoenix Sky Harbor International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,93,Approve in Full
2014030312166,02/25/2014,02/15/2014 13:30:00,AUS,Austin-Bergstrom International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,Other,0,Deny
2014030712266,03/06/2014,02/28/2014 22:15:00,HNL,Honolulu International Airport,Air New Zealand,Passenger Property Loss,Checked Baggage,-,-,-
2014031112357,03/07/2014,03/04/2014,LAX,Los Angeles International Airport ,American Airlines  ,Property Damage,Checked Baggage,Other,344,Approve in Full
2014031312457,03/10/2014,03/15/2012,CLE,Cleveland Hopkins International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Toys & Games,50,Approve in Full
2014031712557,03/17/2014,10/24/2013 09:00:00,LAX,Los Angeles International Airport ,American Airlines  ,Passenger Property Loss,Checkpoint,Clothing,-,-
2014032112657,03/19/2014,01/20/2014 19:15:00,JFK,John F. Kennedy International,Air France,Passenger Property Loss,Checked Baggage,Clothing,280.57,Settle
2014032712757,03/22/2014,02/27/2014 06:15:00,LGA,LaGuardia ,Delta Air Lines  ,Property Damage,Checkpoint,Jewelry & Watches,80,Approve in Full
2014033112857,03/25/2014,03/06/2014,OGG,"Kahului-Maui, HI",Air Canada,Passenger Property Loss,Checkpoint,Medical/Science,93.21,Approve in Full
2014040312957,04/01/2014,11/02/2013 07:00:00,PHX,Phoenix Sky Harbor International,Southwest Airlines  ,Property Damage,Checked Baggage,Home Decor,52.98,Approve in Full
2014040813057,04/02/2014,03/10/2014,TPA,Tampa International,Air Canada,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny
2014041413219,04/10/2014,04/04/2014,EWR,Newark International Airport,UAL  ,Passenger Property Loss,Checked Baggage,Clothing,159.2,Approve in Full
2014041713319,04/16/2014,04/13/2014 15:15:00,SEA,Seattle-Tacoma International,Southwest Airlines  ,Property Damage,Checkpoint,Computer & Accessories,587.11,Settle
2014042113419,04/21/2014,04/03/2014,JAX,Jacksonville International,Southeast Airlines,Passenger Property Loss,Checked Baggage,Clothing,0,Deny
2014042513519,04/21/2014,03/16/2014,F,Foreign airport,USAir  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,0,Deny
2014043013619,04/25/2014,04/11/2014,MCO,Orlando International Airport,Virgin Atlantic,Property Damage,Checked Baggage,Baggage/Cases/Purses,85,Approve in Full
2014050613719,05/01/2014,04/03/2014,LAX,Los Angeles International Airport ,UAL  ,Passenger Property Loss,Checked Baggage,Cameras,208.59,Approve in Full
2014050913819,04/28/2014,03/12/2014 15:30:00,LAX,Los Angeles International Airport ,Jet Blue,Property Damage,Checkpoint,Clothing,140.39,Settle
2014051413919,04/21/2014,09/06/2013,BOS,Boston (Logan) International Airport ,UAL  ,Property Damage,Checked Baggage,Other,1931.99,Settle
2014051914019,05/12/2014,04/18/2014 15:15:00,SEA,Seattle-Tacoma International,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,Currency,-,-
2014052114119,05/19/2014,04/29/2014 04:53:00,DSM,Des Moines International,Southwest Airlines  ,Property Damage,Checked Baggage,Household Items,-,-
2014052714207,05/27/2014,05/06/2014,PHX,Phoenix Sky Harbor International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Household Items,0,Deny
2014053014307,05/21/2014,12/30/2013,TPA,Tampa International,UAL  ,Property Damage,Checkpoint,Computer & Accessories,321,Settle
2014060314389,05/30/2014,02/25/2014 13:15:00,EWR,Newark International Airport,-,Personal Injury,Checkpoint,-,-,-
2014060914489,06/04/2014,05/30/2014,DTW,Detroit Metropolitan Wayne County Airport,Spirit Airlines,Passenger Property Loss,Checked Baggage,Travel Accessories,0,Deny
2014061214589,06/06/2014,05/27/2014 12:50:00,JFK,John F. Kennedy International,Turkish Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses; Clothing,175,Settle
2014061714689,06/09/2014,06/03/2014 14:30:00,EWR,Newark International Airport,UAL  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,265.34,Settle
2014062314789,06/13/2014,05/19/2014 20:30:00,BOS,Boston (Logan) International Airport ,Jet Blue,Property Damage,Checked Baggage,Baggage/Cases/Purses,170,Settle
2014062514889,06/23/2014,06/10/2014,PHX,Phoenix Sky Harbor International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,-,-,-
2014070214989,06/24/2014,06/22/2014 06:22:00,LAS,McCarran International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Sporting Equipment & Supplies,0,Deny
2014071015089,07/10/2014,06/23/2014 19:15:00,RNO,Reno/Tahoe International,USAir  ,Property Damage,Checked Baggage,Household Items; Other; Other,149,Approve in Full
2014071615189,07/01/2014,06/27/2014,EWR,Newark International Airport,UAL  ,Passenger Property Loss,Checked Baggage,Computer & Accessories,-,-
2014072115289,07/07/2014,03/25/2014 07:35:00,DCA,Ronald Reagan Washington National Airport,USAir  ,Property Damage,Checkpoint,Personal Electronics,269,Settle
2014072415389,07/24/2014,06/27/2014 05:20:00,TUL,Tulsa International Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Other,0,Deny
2014072915486,07/15/2014,07/03/2014 12:30:00,FLL,Ft. Lauderdale-Hollywood International,-,Property Damage,Checkpoint,Baggage/Cases/Purses,63.6,Approve in Full
2014080415686,08/04/2014,07/01/2014,TYS,"Mcghee Tyson ,Knoxville",-,Property Damage,Checkpoint,-,60,Approve in Full
2014080815786,07/21/2014,07/12/2014,MCO,Orlando International Airport,USAir  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny
2014081515886,08/01/2014,07/29/2014 05:30:00,ORD,Chicago O'Hare International Airport,American Airlines  ,Property Damage,Checkpoint,Computer & Accessories,409.79,Approve in Full
