Date Received,Incident Date,Processing Time (Days),Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
07/17/2014,06/30/2014,17,MCO,Orlando International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,"""-""",0,Deny
01/07/2014,12/27/2013,11,SJU,Luis Munoz Marin International,Jet Blue,Property Damage,Checked Baggage,"""Food & Drink""",50,Approve in Full
01/07/2014,01/02/2014,5,IAD,Washington Dulles International,UAL  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",0,Deny
01/09/2014,01/07/2014,2,SAT,San Antonio International,Southwest Airlines  ,Property Damage,Checked Baggage,"""Computer & Accessories""",0,Deny
01/13/2014,12/15/2013,29,CHS,Charleston International,Delta Air Lines  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",0,Deny
01/27/2014,01/01/2014,26,BLI,Bellingham International,Alaska Airlines  ,Property Damage,Checked Baggage,"""Jewelry & Watches""",0,Deny
02/04/2014,01/14/2014,21,ONT,Ontario International,Southwest Airlines  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",0,Deny
01/25/2014,01/24/2014,1,LAS,McCarran International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Personal Electronics""",0,Deny
02/13/2014,02/02/2014,11,BTR,Baton Rouge Metropolitan,UAL  ,Passenger Property Loss,Checked Baggage,"""Cosmetics & Grooming""",45,Approve in Full
02/11/2014,01/19/2014,23,DEN,Denver International Airport ,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Clothing""",0,Deny
02/25/2014,02/15/2014,10,BOS,Boston (Logan) International Airport ,Virgin Atlantic,Passenger Property Loss,Checked Baggage,"""Travel Accessories""",40,Approve in Full
02/24/2014,01/02/2014,53,PHX,Phoenix Sky Harbor International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Cosmetics & Grooming""",93,Approve in Full
02/25/2014,02/15/2014,10,AUS,Austin-Bergstrom International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,"""Other""",0,Deny
03/07/2014,03/04/2014,3,LAX,Los Angeles International Airport ,American Airlines  ,Property Damage,Checked Baggage,"""Other""",344,Approve in Full
03/10/2014,03/15/2012,725,CLE,Cleveland Hopkins International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Toys & Games""",50,Approve in Full
03/19/2014,01/20/2014,58,JFK,John F. Kennedy International,Air France,Passenger Property Loss,Checked Baggage,"""Clothing""",280.57,Settle
04/01/2014,11/02/2013,150,PHX,Phoenix Sky Harbor International,Southwest Airlines  ,Property Damage,Checked Baggage,"""Home Decor""",52.98,Approve in Full
04/02/2014,03/10/2014,23,TPA,Tampa International,Air Canada,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",0,Deny
04/10/2014,04/04/2014,6,EWR,Newark International Airport,UAL  ,Passenger Property Loss,Checked Baggage,"""Clothing""",159.2,Approve in Full
04/21/2014,04/03/2014,18,JAX,Jacksonville International,Southeast Airlines,Passenger Property Loss,Checked Baggage,"""Clothing""",0,Deny
04/21/2014,03/16/2014,36,F,Foreign airport,USAir  ,Passenger Property Loss,Checked Baggage,"""Jewelry & Watches""",0,Deny
04/25/2014,04/11/2014,14,MCO,Orlando International Airport,Virgin Atlantic,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",85,Approve in Full
05/01/2014,04/03/2014,28,LAX,Los Angeles International Airport ,UAL  ,Passenger Property Loss,Checked Baggage,"""Cameras""",208.59,Approve in Full
04/21/2014,09/06/2013,227,BOS,Boston (Logan) International Airport ,UAL  ,Property Damage,Checked Baggage,"""Other""",1931.99,Settle
05/27/2014,05/06/2014,21,PHX,Phoenix Sky Harbor International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Household Items""",0,Deny
06/04/2014,05/30/2014,5,DTW,Detroit Metropolitan Wayne County Airport,Spirit Airlines,Passenger Property Loss,Checked Baggage,"""Travel Accessories""",0,Deny
06/06/2014,05/27/2014,10,JFK,John F. Kennedy International,Turkish Airlines  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses; Clothing""",175,Settle
06/09/2014,06/03/2014,6,EWR,Newark International Airport,UAL  ,Passenger Property Loss,Checked Baggage,"""Jewelry & Watches""",265.34,Settle
06/13/2014,05/19/2014,25,BOS,Boston (Logan) International Airport ,Jet Blue,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",170,Settle
06/24/2014,06/22/2014,2,LAS,McCarran International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Sporting Equipment & Supplies""",0,Deny
07/10/2014,06/23/2014,17,RNO,Reno/Tahoe International,USAir  ,Property Damage,Checked Baggage,"""Household Items; Other; Other""",149,Approve in Full
07/24/2014,06/27/2014,27,TUL,Tulsa International Airport,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Other""",0,Deny
07/21/2014,07/12/2014,9,MCO,Orlando International Airport,USAir  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",0,Deny
10/30/2014,04/13/2014,200,LAS,McCarran International,-,Passenger Property Loss,Checked Baggage,"""Baggage/Cases/Purses""",0,Deny
08/06/2014,06/14/2014,53,LAX,Los Angeles International Airport ,Virgin America,Property Damage,Checked Baggage,"""Cosmetics & Grooming""",48.54,Approve in Full
08/18/2014,07/17/2014,32,ANC,Ted Stevens Anchorage International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,"""Hunting & Fishing Items""",21,Approve in Full
08/19/2014,08/16/2014,3,SEA,Seattle-Tacoma International,All Nippon Airways  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",0,Deny
09/05/2014,07/30/2014,37,DTW,Detroit Metropolitan Wayne County Airport,UAL  ,Passenger Property Loss,Checked Baggage,"""Sporting Equipment & Supplies""",362.5,Settle
09/08/2014,08/26/2014,13,BDL,Bradley International Airport,UAL  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",100,Approve in Full
10/06/2014,10/05/2014,1,MSP,Minneapolis/ St.Paul International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,"""Cameras""",0,Deny
10/16/2014,09/16/2014,30,SEA,Seattle-Tacoma International,Frontier Airlines,Passenger Property Loss,Checked Baggage,"""-""",28,Approve in Full
10/23/2014,10/08/2014,15,MIA,Miami International Airport,American Airlines  ,Property Damage,Checked Baggage,"""-""",0,Deny
11/10/2014,10/23/2014,18,LAS,McCarran International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Hunting & Fishing Items""",0,Deny
12/05/2014,11/13/2014,22,ORD,Chicago O'Hare International Airport,UAL  ,Passenger Property Loss,Checked Baggage,"""Clothing""",368.52,Settle
02/09/2014,09/07/2013,155,FLL,Ft. Lauderdale-Hollywood International,Spirit Airlines,Property Damage,Checked Baggage,"""Baggage/Cases/Purses; Clothing""",0,Deny
01/06/2014,11/07/2013,60,MSP,Minneapolis/ St.Paul International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,"""-""",95,Approve in Full
01/06/2014,12/19/2013,18,BOS,Boston (Logan) International Airport ,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,"""Other""",0,Deny
03/21/2014,12/21/2013,90,SEA,Seattle-Tacoma International,Alaska Airlines  ,Passenger Property Loss,Checked Baggage,"""Other""",0,Deny
01/06/2014,12/22/2013,15,RDU,Raleigh-Durham International,USAir  ,Property Damage,Checked Baggage,"""Other""",0,Deny
01/02/2014,12/23/2013,10,LAX,Los Angeles International Airport ,Southwest Airlines  ,Property Damage,Checked Baggage,"""Computer & Accessories""",1735.91,Approve in Full
01/02/2014,12/14/2013,19,RSW,Southwest Florida International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,"""Travel Accessories""",14.99,Approve in Full
01/02/2014,12/19/2013,14,SNA,John Wayne,UAL  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses; Travel Accessories""",0,Deny
01/02/2014,11/29/2013,34,PHX,Phoenix Sky Harbor International,USAir  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses; Personal Accessories""",475.16,Approve in Full
01/02/2014,12/03/2013,30,BOS,Boston (Logan) International Airport ,American Airlines  ,Passenger Property Loss,Checked Baggage,"""Jewelry & Watches""",0,Deny
01/02/2014,12/15/2013,18,MIA,Miami International Airport,American Airlines  ,Property Damage,Checked Baggage,"""Baggage/Cases/Purses""",0,Deny
